stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction,clust,max_distance,quant
F02758,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
F02757,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
F02756,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
F02755,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
F01757,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,-10.0,1783,551.8945458700932,50
F01756,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,-10.0,1783,551.8945458700932,50
F01755,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
F01754,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
F01752,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,172.0,1783,551.8945458700932,50
F01751,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
F01749,Örs vezér tere,47.504556,19.136936,F01749,,F02762,1.0,,1783,551.8945458700932,50
CSLM2OVE,Örs vezér tere,47.504556,19.136936,CSLM2OVE,1.0,F02762,,,1783,551.8945458700932,50
F02759,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
F01792,Örs vezér tere,47.504556,19.136936,F01792,,F02762,2.0,,1783,551.8945458700932,50
002133,"Örs vezér tere M+H, déli tárolótér",47.504556,19.136936,,,F02762,,,1783,551.8945458700932,50
F02761,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
102825,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
009318,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,-99.0,1783,551.8945458700932,50
009322,Örs vezér tere M+H (Kerepesi út),47.504556,19.136936,,,F02762,1.0,81.0,1783,551.8945458700932,50
008021,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
F02760,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
