stop_id,weighted_med_inc_multi,weighted_med_inc_walk,percent_change_income,log_change_income,weighted_gini_multi,weighted_gini_walk,percent_change_gini,log_change_gini,weighted_hh_low_multi,weighted_hh_mid_multi,weighted_hh_high_multi,entropy_multi,weighted_hh_low_walk,weighted_hh_mid_walk,weighted_hh_high_walk,entropy_walk,percent_change_entropy,log_change_entropy,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name
1431133,35620.89621535358,34311.8606353487,3.815111030896102,0.037441352480532264,0.3249442274369455,0.322911460353144,0.6295122141463878,0.006275390624984591,929.5487532807845,2062.8528267972597,738.5395463605591,1.434766867825068,883.9587657511694,1979.3731907250424,681.5887216233522,1.4264404144092322,0.5837224837242336,0.005820254249076225,5.048,0.4112,52,2.254,5.879,3.342,1,7,21,3,109,3,94,32,35,0,0,2,1,42,2,12,9,5,3.44,1.608,5.3838668694518415e-06,0.0017152658662092,0.0921274423635719,0.0033765756692895,370,60.209329,25.037957,Siilitie 9
1431134,37467.108750463245,34304.063804899415,9.220612938319203,0.08819962268060871,0.32154488554761584,0.3229359300319898,-0.4307493700797375,-0.004316797679287133,888.2084400359198,2037.8256243109192,820.512683671536,1.4499891785432666,886.58530497958,1984.5185099149505,682.7702387405755,1.4263355129038564,1.658352149646335,0.01644751647224325,7.614,0.6376,94,5.008,5.878,3.355,15,11,39,5,207,8,174,47,68,0,0,2,1,43,2,11,10,5,3.42,4.194,5.3838668694518415e-06,0.0017152658662092,0.0921274423635719,0.0033765756692895,370,60.209183,25.037994,Siilitie 9
1431135,35609.442425561094,33983.27695756383,4.785193229092992,0.04674228993510873,0.3233442141677647,0.3267237265941048,-1.0343639445991435,-0.010397506661819725,1059.7345199699973,2332.223772930336,797.1589403914422,1.427543643993105,1059.2474288737285,2336.295398413485,803.3712087479496,1.4283380846446296,-0.055619930607830895,-0.0005563540422911261,5.125,0.5356,51,2.23,6.005,3.097,0,4,14,1,88,2,41,24,18,0,0,2,1,36,1,6,9,5,2.948,2.177,4.0132020444844e-06,0.0017152658662092,0.0944027484386816,0.0037573264704644,324,60.21268,25.03878,Siilitie 11
1431136,36660.52713567212,33981.488595006274,7.883817488382608,0.07588469809026534,0.3215186580192092,0.32659728717151376,-1.5550126568067597,-0.01567229796159286,861.865739534448,2015.593020243726,767.0298573298061,1.4377177865117021,1044.4493145065385,2303.3700709593245,793.269510151507,1.428637485993283,0.6355916464074713,0.006335802809176818,6.24,0.316,69,4.228,5.965,3.106,4,8,26,4,172,4,113,46,43,0,0,2,1,35,1,6,9,5,3.065,3.1750000000000003,4.0132020444844e-06,0.0017152658662092,0.0944027484386816,0.0037573264704644,324,60.2123,25.03822,Siilitie 11
1431137,35668.2631270474,34838.71717621886,2.3811036056023203,0.02353197448707949,0.3251700915812208,0.32428834564643283,0.27190182645333616,0.0027153284213592608,1161.1319669284842,2524.3111884803347,881.058330161781,1.4330688562755312,1044.995456592859,2330.7621482409586,796.3364960127024,1.4255712513547403,0.5259368771407111,0.005245586594052246,5.18,0.5842,56,2.338,6.357,3.16,0,4,13,1,86,2,38,25,17,0,0,2,1,27,1,6,7,1,3.152,2.028,1.7364643025762484e-05,0.0017152658662092,0.0996059858161951,0.0047539334481225,316,60.21487,25.04418,Siilitie 13
1431138,36006.449593905454,34815.90935671504,3.419529345025682,0.03362363006096178,0.3223671846511809,0.3246511304842943,-0.7035077406649771,-0.00705994024030125,973.7046237203066,2265.465917115398,821.7554789775127,1.4301593014360436,1058.2880410359226,2354.6389492503595,804.3903568403352,1.4258974113609924,0.29889177447789844,0.0029844598108593797,4.737,0.2904,59,2.274,6.35,3.139,0,4,13,1,125,2,44,29,25,0,0,2,1,24,1,6,7,1,3.136,1.601,1.7364643025762484e-05,0.0017152658662092,0.0996059858161951,0.0047539334481225,316,60.21504,25.04395,Siilitie 13
1431139,39010.21602478364,37919.41147348722,2.8766389268965664,0.02836040412789462,0.32213081152841544,0.3173286220787,1.513317461960448,0.015019810408705545,1170.671586176087,2553.419813069316,1194.435943309683,1.479764182845557,885.3297594298706,2523.079891549112,1063.9574291151916,1.421301166823608,4.11334468630635,0.04030997244786446,12.245,0.7681,143,11.901,5.42,4.476,43,23,87,5,342,22,547,73,207,2,3,10,0,132,1,41,17,19,3.228,9.017,0.0005295351483382,0.0077186963979416,0.1054066972543298,0.1940309525602007,364,60.19542,25.03125,Herttoniemi
1431140,39016.89580662571,37619.832641914305,3.7136347149903632,0.03646340290898181,0.32212191754091346,0.3177749900262848,1.3679262531859782,0.013586545992526065,1170.7141719458643,2553.519479830779,1194.843149548907,1.4798050032741994,882.2412675004961,2470.8166120058745,1029.9157446750169,1.4226392432109753,4.018289270173496,0.03939655605906411,12.222,0.7799,137,11.882,5.447,4.377,43,23,87,5,342,22,547,73,207,2,3,10,1,115,1,37,17,16,3.084,9.138,0.0005295351483382,0.0077186963979416,0.1054066972543298,0.1940309525602007,364,60.19654,25.03189,Hiihtäjäntie
1431141,38115.91951496514,37200.71229541692,2.460187354157134,0.024304121080312564,0.31733917458941985,0.317699146796234,-0.11330600363401108,-0.0011337024341590799,848.1039375246448,2200.504348628424,913.2951791260116,1.4352656047722703,834.8752833130435,2290.8150132162277,940.1353165780209,1.4238192707289914,0.8039176234367438,0.008007034205812679,3.64,0.5758,50,1.315,5.426,4.228,1,3,11,1,134,1,37,24,19,1,3,9,1,97,1,35,15,16,3.091,0.5489999999999999,0.0001258159281993,0.0025728987993138,0.095394748422275,0.0012831169489787,365,60.19795,25.03163,Herttoniemen kirkko
1431142,38583.64387076862,36743.39382814593,5.008383415069935,0.04887000303051034,0.3229415831641163,0.3183304528181908,1.4485357291779748,0.014381446755991206,1164.5050787842392,2576.5223756695473,1188.8674676630285,1.4758523219861224,827.022638758948,2203.249475795854,885.1153186366433,1.4255423317267595,3.529182483021911,0.03468334333280849,9.261,0.7577,113,7.56,5.408,4.09,36,15,62,5,279,16,382,61,160,0,3,9,1,81,1,34,15,15,2.823,6.437999999999999,0.0001258159281993,0.0025728987993138,0.095394748422275,0.0012831169489787,366,60.19926,25.03136,Herttoniemen kirkko
