stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
F03332,Ilonatelep H (Georgina utca),47.524712,19.229467,29,29.0,1.5442608006038348e-05,0.0014756517461878996,0.04921564830057132,0.0024283677289591516
F03333,Ilonatelep H,47.525882,19.229179,29,29.0,1.5442608006038348e-05,0.0014756517461878996,0.04921564830057132,0.0024283677289591516
F03334,Ilonatelep H,47.525883,19.228515,29,29.0,1.5442608006038348e-05,0.0014756517461878996,0.04921564830057132,0.0024283677289591516
F03335,Simongát utca,47.517201,19.235933,22,22.0,1.700289663407626e-05,0.000983767830791933,0.05039413018690199,0.0016042085233401217
F03336,Nagytarcsai út,47.516993,19.23661,22,22.0,1.700289663407626e-05,0.000983767830791933,0.05039413018690199,0.0016042085233401217
F03337,Erdei bekötőút,47.507803,19.235276,69,69.0,7.714027564732617e-06,0.000983767830791933,0.051129218852170415,0.0018596365827097425
F03338,Erdei bekötőút,47.507587,19.235395,69,69.0,7.714027564732617e-06,0.000983767830791933,0.051129218852170415,0.0018596365827097425
F03339,Margit utca,47.517715,19.190874,62,62.0,0.0010988358858969403,0.000983767830791933,0.05688463583200425,0.006147878807700172
F03340,Margit utca,47.517175,19.19066,62,62.0,0.0010988358858969403,0.000983767830791933,0.05688463583200425,0.006147878807700172
F03341,Centenáriumi lakótelep,47.516207,19.187936,61,61.0,9.574184205550823e-08,0.0004918839153959665,0.04286587808632214,0.0
F03343,Szent Korona utca,47.530195,19.178319,685,685.0,1.3018768252999687e-05,0.0004918839153959665,0.05180673767901738,0.0
F03344,Garat utca,47.505836,19.181299,48,48.0,0.015964239076439513,0.000983767830791933,0.0635213247930011,0.0009836403378041191
F03345,Garat utca,47.506484,19.181114,48,48.0,0.015964239076439513,0.000983767830791933,0.0635213247930011,0.0009836403378041191
F03346,Vörösmarty utca,47.532271,19.163171,669,669.0,0.00010177092570325028,0.000983767830791933,0.05891899724677583,0.0020039540307072146
F03347,Péterke utca,47.533149,19.185692,682,682.0,1.5827616988074959e-06,0.000983767830791933,0.05031555500556862,0.0016173550354518936
F03348,Péterke utca,47.533227,19.185219,682,682.0,1.5827616988074959e-06,0.000983767830791933,0.05031555500556862,0.0016173550354518936
