,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
140,1098.0,0.005828635960261569,0.004191114836546521,0.06968457943925234,0.014746678583278034,1020463,1098,60.16823,24.9411,Ylioppilastalo
141,1098.0,0.005828635960261569,0.004191114836546521,0.06968457943925234,0.014746678583278034,1020464,1098,60.16776,24.94159,Ylioppilastalo
142,12.0,6.705527265514876e-15,0.0016764459346186086,0.04038728460679102,0.0016764459346186081,1494102,12,60.170748,25.02075,Hopealaakso
143,12.0,6.705527265514876e-15,0.0016764459346186086,0.04038728460679102,0.0016764459346186081,1494103,12,60.170677,25.01994,Hopealaakso
144,377.0,2.7988904940353366e-14,0.0016764459346186086,0.04208261314332075,0.0033500790404878563,1494104,377,60.1689,25.020529,Haakoninlahdenkatu
145,377.0,2.7988904940353366e-14,0.0016764459346186086,0.04208261314332075,0.0033500790404878563,1494105,377,60.168987,25.020211,Haakoninlahdenkatu
146,14.0,6.33441569302338e-08,0.0016764459346186086,0.07344250184683576,0.0016764459346186086,1362149,14,60.23241,25.04725,Agronominraitti
147,14.0,6.33441569302338e-08,0.0016764459346186086,0.07344250184683576,0.0016764459346186086,1362150,14,60.23253,25.04761,Agronominraitti
148,1075.0,2.8232289917553285e-07,0.002514668901927913,0.07924804038793676,0.00468513856270737,1362147,1075,60.234,25.04546,Metsänhoitajankatu
149,1075.0,2.8232289917553285e-07,0.002514668901927913,0.07924804038793676,0.00468513856270737,1362148,1075,60.23443,25.04458,Metsänhoitajankatu
150,15.0,8.38211416903329e-07,0.0008382229673093043,0.07882912647019955,0.0,1362101,15,60.232398,25.035738,Limnologinraitti
151,109.0,3.947359321328106e-06,0.004191114836546521,0.0855687849662889,0.007706056048261668,1362143,109,60.23446,25.03309,Agronominkatu
152,109.0,3.947359321328106e-06,0.004191114836546521,0.0855687849662889,0.007706056048261668,1362144,109,60.23451,25.03253,Agronominkatu
153,16.0,3.119089847909827e-08,0.002514668901927913,0.06444120347863663,0.0038770040895133,1385100,16,60.26374,25.037096,Helluntairaitti
154,16.0,3.119089847909827e-08,0.002514668901927913,0.06444120347863663,0.0038770040895133,1385101,16,60.26374,25.037096,Helluntairaitti
155,620.0,7.092401417813605e-08,0.002514668901927913,0.0688401615695326,0.012548079086267157,1385163,620,60.26207,25.04015,Tasankotie
