,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,clust,max_distance,quant
3245,est_90_71,120,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69153,A,http://www.crtm.es,0.0,est_90_71,,2.0,1280,7.773025871606769,3
3246,3194,3194,Orovilla - Centro Comercial,,40.36224,-3.68971,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3194&Estado=1&panel=6,,3194,,,1281,47.237946757413766,2
3247,3194,3193,Orovilla - Centro Comercial,,40.36224,-3.68971,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3193&Estado=1&panel=6,,3194,,,1281,47.237946757413766,2
3248,1494,1494,Sinesio Delgado - Ginzo De Limia,,40.47376,-3.7025,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1494&Estado=1&panel=6,,1494,,,1282,69.63594699383563,2
3249,1494,1495,Sinesio Delgado - Ginzo De Limia,,40.47376,-3.7025,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1495&Estado=1&panel=6,,1494,,,1282,69.63594699383563,2
3250,2686,2686,Anastasia López - Braille,,40.49708,-3.69295,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2686&Estado=1&panel=6,,2686,,,1283,27.110585247034876,2
3251,2686,2687,Anastasia López - Braille,,40.49708,-3.69295,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2687&Estado=1&panel=6,,2686,,,1283,27.110585247034876,2
3252,5743,5743,Parque De Atracciones,,40.41359,-3.75207,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5743&Estado=1&panel=6,,5743,,,1285,520.2139212461574,2
3253,5743,2303,Parque De Atracciones,,40.41359,-3.75207,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2303&Estado=1&panel=6,,5743,,,1285,520.2139212461574,2
3254,1770,1770,San Bernardo - Dos De Mayo,,40.42716,-3.70662,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1770&Estado=1&panel=6,,1770,,,1287,25.9645833111131,2
3255,1770,1769,San Bernardo - Dos De Mayo,,40.42716,-3.70662,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1769&Estado=1&panel=6,,1770,,,1287,25.9645833111131,2
3256,171,171,Gran Vía - Plaza De España,,40.423,-3.71052,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=171&Estado=1&panel=6,,171,,,1288,86.93791423978901,4
3257,171,170,Gran Vía - Plaza De España,,40.423,-3.71052,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=170&Estado=1&panel=6,,171,,,1288,86.93791423978901,4
3258,171,283,Gran Vía - Plaza De España,,40.423,-3.71052,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=283&Estado=1&panel=6,,171,,,1288,86.93791423978901,4
3259,171,5139,Gran Vía - Plaza De España,,40.423,-3.71052,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5139&Estado=1&panel=6,,171,,,1288,86.93791423978901,4
3260,1747,1747,Plaza De España - Terminal,,40.42456,-3.71078,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1747&Estado=1&panel=6,,1747,,,1289,106.89376486063028,3
3261,1747,5205,Plaza De España - Terminal,,40.42456,-3.71078,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5205&Estado=1&panel=6,,1747,,,1289,106.89376486063028,3
3262,1747,5206,Plaza De España - Terminal,,40.42456,-3.71078,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5206&Estado=1&panel=6,,1747,,,1289,106.89376486063028,3
3263,par_4_271,271,VILLAVERDE BAJO CRUCE,Avda de Andalucía 38,40.35089,-3.69265,A,http://www.crtm.es,0.0,par_4_271,Europe/Madrid,2.0,1290,0.0,2
3264,par_4_271,271,VILLAVERDE BAJO CRUCE,Avda de Andalucía 38,40.35089,-3.69265,A,http://www.crtm.es,1.0,par_4_271,Europe/Madrid,2.0,1290,0.0,2
3265,par_4_199,199,LAGO,Ronda del Lago 3,40.41641,-3.73563,A,http://www.crtm.es,0.0,par_4_199,Europe/Madrid,2.0,1292,0.0,2
3266,par_4_199,199,LAGO,Ronda del Lago 3,40.41641,-3.73563,A,http://www.crtm.es,1.0,par_4_199,Europe/Madrid,2.0,1292,0.0,2
3267,50009,50009,Estadio Metropolitano,,40.43381,-3.60261,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=50009&Estado=1&panel=6,,50009,,,1293,134.95421255779203,2
3268,50009,286,Estadio Metropolitano,Avda de Arcentales SN,40.43381,-3.60261,,http://www.crtm.es,2.0,50009,,0.0,1293,134.95421255779203,2
3269,4402,4402,Pradera De Vaquerizas,,40.49099,-3.7222,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4402&Estado=1&panel=6,,4402,,,1299,21.199116022738504,2
3270,4402,4403,Pradera De Vaquerizas,,40.49099,-3.7222,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4403&Estado=1&panel=6,,4402,,,1299,21.199116022738504,2
3271,4436,4436,Pradera De Corralillos,,40.48847,-3.71844,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4436&Estado=1&panel=6,,4436,,,1300,101.80078905150187,3
3272,4436,4731,Pradera De Corralillos,,40.48847,-3.71844,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4731&Estado=1&panel=6,,4436,,,1300,101.80078905150187,3
3273,4436,4437,Pradera De Corralillos,,40.48847,-3.71844,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4437&Estado=1&panel=6,,4436,,,1300,101.80078905150187,3
3274,est_4_114,114,Ascensor exterior 2,Calle del Doctor Esquerdo 68,40.4154,-3.66928,,http://www.crtm.es,2.0,est_4_114,,0.0,1303,4.441704409564779,2
3275,est_4_114,114,Ascensor exterior 1,Calle del Doctor Esquerdo 68,40.4154,-3.66928,,http://www.crtm.es,2.0,est_4_114,,0.0,1303,4.441704409564779,2
3276,2015,2015,López De Hoyos - Cardenal Silíceo,,40.44556,-3.67192,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2015&Estado=1&panel=6,,2015,,,1304,45.063258559241596,2
3277,2015,2016,López De Hoyos - Cardenal Silíceo,,40.44556,-3.67192,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2016&Estado=1&panel=6,,2015,,,1304,45.063258559241596,2
3278,2022,2022,Padre Claret - Ramón Y Cajal,,40.45225,-3.66536,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2022&Estado=1&panel=6,,2022,,,1306,81.55539300620852,3
3279,2022,461,Padre Claret - Ramón Y Cajal,,40.45225,-3.66536,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=461&Estado=1&panel=6,,2022,,,1306,81.55539300620852,3
3280,2022,462,Padre Claret - Ramón Y Cajal,,40.45225,-3.66536,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=462&Estado=1&panel=6,,2022,,,1306,81.55539300620852,3
3281,411,411,Alfonso XIII - Ramón Y Cajal,,40.45262,-3.66854,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=411&Estado=1&panel=6,,411,,,1307,128.5148825613063,4
3282,411,309,Alfonso XIII - Ramón Y Cajal,,40.45262,-3.66854,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=309&Estado=1&panel=6,,411,,,1307,128.5148825613063,4
3283,411,308,Alfonso XIII - Ramón Y Cajal,,40.45262,-3.66854,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=308&Estado=1&panel=6,,411,,,1307,128.5148825613063,4
3284,411,410,Alfonso XIII - Ramón Y Cajal,,40.45262,-3.66854,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=410&Estado=1&panel=6,,411,,,1307,128.5148825613063,4
3285,2380,2380,Corazón De María - Santa Rita,,40.44629,-3.66696,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2380&Estado=1&panel=6,,2380,,,1308,45.08597426609906,2
3286,2380,2379,Corazón De María - Santa Rita,,40.44629,-3.66696,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2379&Estado=1&panel=6,,2380,,,1308,45.08597426609906,2
3287,4788,4788,Fuentespina - Centro De Salud,,40.38043,-3.60348,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4788&Estado=1&panel=6,,4788,,,1314,14.840856521687131,2
3288,4788,4787,Fuentespina - Centro De Salud,,40.38043,-3.60348,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4787&Estado=1&panel=6,,4788,,,1314,14.840856521687131,2
3289,1588,1588,Nueva Zelanda - Ruperto Andrés,,40.46736,-3.72432,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1588&Estado=1&panel=6,,1588,,,1315,9.111694048359986,2
3290,1588,1587,Nueva Zelanda - Ruperto Andrés,,40.46736,-3.72432,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1587&Estado=1&panel=6,,1588,,,1315,9.111694048359986,2
3291,662,662,Polideportivo Las Cruces,,40.37837,-3.75591,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=662&Estado=1&panel=6,,662,,,1316,24.23579067172801,2
3292,662,663,Polideportivo Las Cruces,,40.37837,-3.75591,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=663&Estado=1&panel=6,,662,,,1316,24.23579067172801,2
3293,2668,2668,Llano Castellano - Herrera Oria,,40.4907,-3.68591,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2668&Estado=1&panel=6,,2668,,,1321,25.64397691341556,2
3294,2668,2669,Llano Castellano - Herrera Oria,,40.4907,-3.68591,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2669&Estado=1&panel=6,,2668,,,1321,25.64397691341556,2
3295,2667,2667,Llano Castellano - Valdegovia,,40.48924,-3.68564,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2667&Estado=1&panel=6,,2667,,,1322,27.541538695747395,2
3296,2667,2666,Llano Castellano - Valdegovia,,40.48924,-3.68564,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2666&Estado=1&panel=6,,2667,,,1322,27.541538695747395,2
3297,1810,1810,Hormigueras - González Dávila,,40.37598,-3.63832,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1810&Estado=1&panel=6,,1810,,,1325,29.065584463646424,2
3298,1810,1809,Hormigueras - González Dávila,,40.37598,-3.63832,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1809&Estado=1&panel=6,,1810,,,1325,29.065584463646424,2
3299,1806,1806,Hormigueras - Torre Don Miguel,,40.37433,-3.64481,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1806&Estado=1&panel=6,,1806,,,1326,50.13308539842607,2
3300,1806,1805,Hormigueras - Torre Don Miguel,,40.37433,-3.64481,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1805&Estado=1&panel=6,,1806,,,1326,50.13308539842607,2
3301,5408,5408,Avenida De Manoteras,,40.4884,-3.66731,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5408&Estado=1&panel=6,,5408,,,1328,73.05356820593127,2
3302,5408,5658,Avenida De Manoteras,,40.4884,-3.66731,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5658&Estado=1&panel=6,,5408,,,1328,73.05356820593127,2
3303,3602,3602,Avenida De Burgos 93,,40.49398,-3.67,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3602&Estado=1&panel=6,,3602,,,1329,317.3389609975275,2
3304,3602,3264,Avenida De Burgos 89,,40.49398,-3.67,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3264&Estado=1&panel=6,,3602,,,1329,317.3389609975275,2
3305,3333,3333,Baltasar Santos - Navacerrada,,40.40192,-3.6571,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3333&Estado=1&panel=6,,3333,,,1330,10.2400178667626,2
