,stop_id,walk15_gini,multimodal_gini,median_income_walk,median_income_multimodal
413,1140436,0.318543,0.321282,41038.0,38269.0
414,1140437,0.318414,0.318193,41182.0,40535.0
415,1140438,0.31548,0.317955,40646.0,38979.0
416,1140439,0.31624,0.31807,40629.0,39905.0
417,1140440,0.316564,0.319398,39787.0,38203.0
418,1140441,0.315622,0.319054,40255.0,39764.0
419,1140446,0.316591,0.31704,39670.0,39225.0
420,1140447,0.316059,0.323275,42709.0,37607.0
421,1140449,0.315875,0.318644,42773.0,40273.0
422,1140450,0.319341,0.323962,40709.0,37199.0
423,1140451,0.319109,0.319107,40859.0,40121.0
424,1140452,0.32389,0.326721,38029.0,36669.0
425,1140453,0.32304,0.320872,38486.0,39091.0
426,1150101,0.319324,0.318441,38275.0,38826.0
427,1150102,0.319172,0.317672,38342.0,39482.0
428,1150107,0.318299,0.314303,38728.0,40850.0
429,1150108,0.31774,0.318047,39043.0,39449.0
430,1150109,0.319981,0.312334,38001.0,42248.0
431,1150110,0.319995,0.316848,37974.0,39649.0
432,1150111,0.316503,0.309833,39191.0,42860.0
433,1150112,0.316374,0.313062,39179.0,41868.0
434,1150113,0.315561,0.310246,39667.0,42580.0
435,1150114,0.315327,0.312665,39629.0,41930.0
436,1150116,0.320089,0.311741,37915.0,42525.0
437,1150117,0.319296,0.316708,38161.0,39751.0
438,1150118,0.320127,0.317634,37920.0,39205.0
439,1150119,0.316596,0.311739,39188.0,42489.0
440,1150120,0.317219,0.316394,38942.0,40837.0
441,1150122,0.316332,0.314869,38902.0,40972.0
442,1150123,0.316385,0.316205,38896.0,40920.0
443,1150124,0.314868,0.315603,39187.0,40449.0
444,1150125,0.314839,0.315854,39194.0,41050.0
445,1150126,0.313933,0.315913,39524.0,40143.0
446,1150127,0.313788,0.315719,39538.0,40948.0
447,1150128,0.31832,0.315603,39380.0,40449.0
448,1150129,0.318174,0.315376,39278.0,40866.0
449,1150130,0.318801,0.314873,40433.0,41030.0
450,1150131,0.319001,0.312636,38254.0,41808.0
451,1150133,0.319525,0.315704,38106.0,40216.0
452,1150134,0.319438,0.318744,38138.0,38838.0
453,1150135,0.318572,0.317787,38607.0,39302.0
454,1150145,0.318952,0.316276,38111.0,40071.0
455,1150431,0.319669,0.315763,38065.0,40187.0
456,1150432,0.319606,0.317393,38107.0,39585.0
457,1150433,0.319981,0.310641,37941.0,42676.0
458,1150434,0.320049,0.315425,37924.0,39984.0
459,1150435,0.316331,0.311742,39234.0,42308.0
460,1150436,0.316418,0.311908,39222.0,42184.0
461,1150437,0.315715,0.311163,39554.0,42394.0
462,1150438,0.315456,0.312523,39639.0,41923.0
463,1160101,0.320505,0.319309,37529.0,37530.0
464,1160104,0.320558,0.319038,37556.0,38277.0
465,1160105,0.318352,0.319938,37156.0,36834.0
466,1160107,0.319705,0.319208,37142.0,37804.0
467,1160109,0.317074,0.319204,36964.0,37661.0
468,1160111,0.318326,0.319597,37095.0,36932.0
469,1160112,0.318313,,37118.0,36495.0
470,1160113,0.318148,0.319825,37137.0,36911.0
471,1160118,,,36412.0,33039.0
472,1160127,0.318721,0.319539,37199.0,37051.0
473,1160202,0.32046,0.319366,37503.0,37340.0
474,1160206,0.317693,,37078.0,35292.0
475,1160401,0.318929,0.319539,37324.0,37051.0
476,1160402,0.319035,0.319396,37261.0,37369.0
477,1160403,0.318583,0.319963,37478.0,36892.0
478,1160404,0.31861,0.319132,37517.0,37358.0
479,1160414,0.320441,0.319177,37412.0,37620.0
480,1160415,0.320477,0.31935,37492.0,37737.0
481,1171104,,,29858.0,31384.0
482,1171105,,,29738.0,33087.0
483,1171120,0.326986,,36550.0,36509.0
484,1171121,,,34075.0,30178.0
485,1171122,0.322149,0.321122,37815.0,37408.0
486,1171124,0.319733,,37923.0,31655.0
487,1171125,0.320062,,37855.0,32023.0
488,1171126,0.318001,,37552.0,32123.0
489,1171127,0.319805,,37513.0,30760.0
490,1171130,0.319076,,38378.0,31457.0
491,1171131,0.319177,,38469.0,32121.0
492,1171134,0.32619,0.32298,36788.0,36812.0
493,1171135,0.324751,0.319998,37161.0,38329.0
494,1171150,,,29247.0,32493.0
495,1171151,,,28876.0,32571.0
496,1171152,0.324054,,37809.0,36565.0
497,1171153,0.324181,0.320959,37768.0,37731.0
498,1171154,0.32019,,38713.0,31111.0
499,1171158,0.320549,,38677.0,32067.0
500,1171180,,,34642.0,32436.0
501,1171403,0.324213,0.32096,37799.0,37517.0
502,1171404,0.324101,0.320525,37862.0,37707.0
503,1171405,0.322753,0.321167,38332.0,37680.0
504,1171406,0.322716,0.323143,38384.0,36865.0
505,1171407,0.32211,0.323293,38364.0,37749.0
506,1171408,0.321966,,38422.0,35613.0
507,1171442,0.322054,0.322336,37840.0,37044.0
508,1171444,0.326753,0.323373,36594.0,36474.0
509,1171445,0.325955,0.321526,36881.0,37331.0
510,1171457,0.325271,0.321372,37065.0,37504.0
511,1171458,0.325553,0.321661,36994.0,37191.0
512,1172114,,,24067.0,28205.0
513,1172142,,,23853.0,31354.0
514,1172143,,,25700.0,27872.0
515,1172144,,,25831.0,30740.0
516,1172145,,,24686.0,27634.0
517,1172146,,,24937.0,29672.0
518,1172503,,,28862.0,32486.0
519,1172553,,,28635.0,32565.0
520,1173102,0.316981,0.324767,38129.0,35655.0
521,1173104,0.32568,0.325313,36811.0,35884.0
522,1173105,0.323409,,37601.0,33924.0
523,1173106,0.322848,,37768.0,34387.0
524,1173107,0.318623,0.321314,39070.0,37097.0
525,1173108,0.320552,,39124.0,33651.0
526,1173111,0.326323,0.324819,36102.0,36809.0
527,1173113,0.328943,0.325297,35425.0,36023.0
528,1173123,0.32568,,36786.0,33317.0
529,1173125,0.325401,0.324378,36930.0,36187.0
530,1173127,0.326713,,36395.0,33571.0
531,1173132,0.315337,0.321133,38518.0,37371.0
532,1173133,0.315205,,38602.0,36255.0
533,1173148,0.325458,0.322548,36859.0,36764.0
534,1173403,0.328943,0.32681,35425.0,35535.0
535,1173404,0.325925,0.325951,36702.0,35340.0
536,1173416,0.324714,0.323115,36553.0,36084.0
537,1173417,0.324996,0.325719,36524.0,35144.0
538,1173418,0.322555,0.326826,37821.0,34837.0
539,1173423,0.316932,0.32286,37985.0,35913.0
