stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1201107,7.647,0.7872,177,3.413,4.198,9.012,112,24,87,11,230,51,842,70,495,1922,29,5,19,5,89,12,163,28,136,486,3.072,4.575,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.162674,24.916438,Selkämerenkatu,0.323014,0.316896,41959.0,43044.0
1201130,8.711,0.7034,198,4.021,4.054,8.924,116,25,96,14,269,56,887,77,530,2070,24,5,17,5,83,12,147,28,112,433,3.072,5.639,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16431,24.91405,Länsiväylä,0.324048,0.317417,41741.0,42784.0
1201135,8.97,0.8204,187,4.344,4.152,9.009,112,25,91,11,291,53,863,78,499,2023,21,4,14,5,83,10,116,28,92,373,2.977,5.993,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16338,24.91418,Ruoholaht,0.324406,0.314002,41577.0,43892.0
1201136,8.199,0.7628,187,3.773,4.146,8.993,117,25,92,13,260,55,883,78,536,2059,22,5,18,5,84,11,128,28,100,401,3.031,5.167999999999999,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16335,24.91484,Ruoholaht,0.324132,0.316852,41667.0,43115.0
1201431,8.916,0.7149,191,3.944,4.146,8.993,114,25,90,12,259,53,861,74,504,1992,22,5,18,5,84,11,128,28,100,401,3.031,5.885,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16335,24.91484,Ruoholaht,0.324132,0.317002,41667.0,42912.0
1201432,7.647,0.7872,177,3.413,4.152,9.009,112,24,87,11,230,51,842,70,495,1922,21,4,14,5,83,10,116,28,92,373,2.977,4.67,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16338,24.91418,Ruoholaht,0.324406,0.316896,41577.0,43044.0
1201601,13.284,0.6555,276,11.599,4.229,9.082,145,33,127,17,392,71,1137,111,625,2658,18,4,13,5,82,8,95,25,80,330,2.777,10.507,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.162714,24.913852,Ruoholahti,0.32496,0.318726,41383.0,41590.0
1201602,7.647,0.7872,177,3.413,4.229,9.082,112,24,87,11,230,51,842,70,495,1922,18,4,13,5,82,8,95,25,80,330,2.777,4.87,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.162714,24.913852,Ruoholahti,0.32496,0.316896,41383.0,43044.0
1201113,7.647,0.7872,177,3.413,4.143,8.986,112,24,87,11,230,51,842,70,495,1922,23,5,18,5,86,12,132,28,104,413,3.078,4.569000000000001,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.163335,24.915131,Ruoholahti,0.32401,0.316896,41697.0,43044.0
1310126,3.539,0.6525,37,1.305,5.402,10.537,8,3,8,2,139,3,46,17,17,243,2,2,7,1,88,3,30,14,16,163,2.95,0.589,3.252288991730427e-05,0.0017152658662092,0.0686073939028005,0.0036758641795486,21,60.16071,24.87498,Lahnalahden puisto,0.301271,0.297838,47644.0,48772.0
1310113,3.082,0.7098,26,1.13,6.099,11.243,8,3,8,2,113,3,39,16,17,209,1,2,6,0,69,3,24,10,9,124,2.481,0.601,6.035837268846404e-07,0.0017152658662092,0.0570000701722619,2.441615932586861e-05,25,60.15688,24.86445,Takaniementie,0.301952,0.303436,47445.0,47163.0
1310114,3.875,0.6844,42,1.385,6.086,11.228,9,3,9,4,147,4,62,23,33,294,1,2,7,0,70,3,25,10,10,128,2.539,1.336,6.035837268846404e-07,0.0017152658662092,0.0570000701722619,2.441615932586861e-05,25,60.15665,24.86538,Takaniementie,0.300685,0.300978,47815.0,47957.0
1310115,2.964,0.7323,27,0.637,6.021,11.176,8,3,8,2,101,3,36,12,16,189,0,0,2,0,52,1,6,7,2,70,2.278,0.6859999999999999,1.1523478118157576e-06,0.0017152658662092,0.0603857730359991,0.0005815708301739,26,60.15934,24.86085,Viklakuja,0.308138,0.305788,45639.0,46488.0
1310116,3.806,0.6926,37,2.011,6.082,11.235,9,3,9,4,144,4,62,23,33,291,0,1,2,0,53,2,8,7,2,75,2.331,1.475,1.1523478118157576e-06,0.0017152658662092,0.0603857730359991,0.0005815708301739,26,60.1583,24.86154,Viklakuja,0.306221,0.300979,46198.0,47953.0
1310117,3.022,0.8036,30,0.626,5.842,10.999,8,2,6,4,99,2,43,18,29,211,0,1,4,0,59,1,13,5,5,88,2.402,0.6199999999999997,5.931263789003302e-06,0.0025728987993138,0.0642168240139117,0.0056828304095286,28,60.16207,24.85976,Vaskiniementie,0.309962,0.313608,45111.0,44360.0
1310118,3.74,0.7201,34,1.97,5.864,11.021,9,3,9,4,141,4,60,23,33,286,0,1,4,0,59,1,11,5,3,84,2.401,1.3390000000000004,5.931263789003302e-06,0.0025728987993138,0.0642168240139117,0.0056828304095286,28,60.16182,24.85971,Vaskiniementie,0.309959,0.301676,45112.0,47754.0
1310299,4.588,0.8246,50,1.602,5.775,10.932,17,6,22,4,167,12,139,35,103,505,0,1,4,0,66,1,13,7,6,98,2.428,2.16,5.931263789003302e-06,0.0025728987993138,0.0642168240139117,0.0056828304095286,28,60.16235,24.86092,Katajaharju,0.309584,0.306154,45265.0,46612.0
