stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,Unnamed: 27,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
1067,5.41,0.5245,91,1.998,6.733,6.809,1,25,34,4,128,10,51,45,32,3,20,13,1,51,8,21,28,12,3.286,2.124,2769,Avenida De Daroca - Campus Universitario,40.40439,-3.61037,505,0.0003717812298732,0.0009713453132588,0.0976894244911514,1.2793769068220838e-05,28.655139,29.016264,31459.0,35204.0
1069,4.186,0.6014,77,1.458,7.216,7.195,1,23,20,2,60,9,30,36,16,1,19,9,0,40,8,19,27,12,3.072,1.114,2770,San Cipriano,40.40418,-3.60467,527,0.0002153784843089,0.0014570179698882,0.099430171914236,0.0064580685261671,28.388696,28.405989,31577.0,33341.0
1070,3.215,0.51,43,0.368,7.354,5.919,1,24,16,1,77,8,36,40,22,0,19,15,1,66,7,29,33,17,2.507,0.7079999999999997,2771,Las Rosas,40.425,-3.60612,1041,1.8165780524924173e-05,0.0009713453132588,0.0743348135311744,0.0,28.841045,28.914323,40759.0,38231.0
1072,3.523,0.5069,46,0.61,7.418,6.058,1,25,16,1,83,9,41,41,22,0,17,13,1,59,7,26,31,16,2.264,1.2590000000000003,2772,Ginebra - Suecia,40.42387,-3.60495,1042,5.539991594948342e-05,0.0024283632831471,0.0802948172990679,0.0030578487533007,28.826413,28.860306,42346.0,37678.0
1073,4.481,0.367,80,1.524,7.961,7.966,1,23,24,0,53,8,41,29,26,0,12,11,0,29,5,7,15,10,2.701,1.7799999999999998,2773,Puerta Arganda,40.40127,-3.59612,496,0.0002118020969538,0.0038853812530354,0.1001361735239762,0.0197230334183228,27.967681,28.350093,33584.0,32366.0
1074,4.319,0.4911,75,1.475,6.891,6.931,1,25,29,2,74,11,41,44,29,3,20,12,1,44,8,19,27,13,3.302,1.017,2774,Metro Vicálvaro,40.40437,-3.6085,506,0.0010912492673376,0.0024283632831471,0.1081293981724608,0.0095031101380716,28.566006,28.4391,31459.0,34360.0
1075,4.319,0.4911,75,1.475,6.842,6.791,1,25,29,2,74,11,41,44,29,2,19,11,0,39,6,17,25,10,3.004,1.315,2775,Artilleros - Campus Universitario,40.40588,-3.60901,506,0.0010912492673376,0.0024283632831471,0.1081293981724608,0.0095031101380716,28.670761,28.4391,30589.0,34360.0
1076,4.433,0.6414,76,1.334,6.657,6.513,1,25,28,3,147,9,44,35,30,2,16,11,1,46,7,20,23,9,2.964,1.469,2776,Calahorra,40.40781,-3.61118,504,0.0004843681561123,0.0014570179698882,0.0978379662627702,1.2793769068220838e-05,29.353948,29.225543,28392.0,34134.0
1077,4.478,0.5689,66,1.188,6.483,6.419,1,25,28,3,151,8,43,35,30,3,15,12,1,55,7,21,22,10,2.947,1.5309999999999997,2777,Avenida De Daroca - Calahorra,40.40724,-3.61323,507,0.0010882522532677,0.0024283632831471,0.1067946058091286,0.0037462042816416,29.316769,29.270405,29618.0,34351.0
1078,3.949,0.5025,52,1.089,3.748,1.892,1,67,59,1,93,18,110,50,85,3,68,62,2,89,18,116,46,96,3.569,0.3799999999999999,2778,Avenida De Daroca - Ricardo Ortiz,40.43076,-3.65799,1928,0.0001316549205604,0.0019426906265177,0.0896933263634779,0.0024062717398212,32.363098,32.426249,37615.0,35368.0
