,stop_id,walk15_gini,multimodal_gini,income_walk,income_multimodal
1470,2483,29.118007,29.41336,33250.0,32434.0
1471,2484,29.711769,29.91921,34280.0,33253.0
1472,2485,29.754365,29.782385,35015.0,32925.0
1473,2486,29.341759,29.747795,34070.0,33436.0
1474,2489,29.915784,29.784778,35253.0,32690.0
1475,2491,30.232809,30.065414,35900.0,34416.0
1476,2495,32.020061,31.946039,31785.0,31884.0
1477,2498,31.73688,31.741126,36090.0,37201.0
1478,250,29.574131,29.919584,29288.0,31296.0
1479,2503,34.517882,35.489159,58921.0,63693.0
1480,2504,34.538486,35.262789,59744.0,64759.0
1481,2505,35.168095,36.199428,63103.0,67924.0
1482,2506,36.357769,36.70806,68636.0,69513.0
1483,2507,36.357573,33.977678,67958.0,61245.0
1484,2508,36.598121,34.318194,69369.0,63367.0
1485,2509,36.969572,35.106485,70669.0,62511.0
1486,251,29.752985,30.666632,29186.0,30877.0
1487,2510,36.9553,35.0506,70904.0,62595.0
1488,2511,36.467626,35.418164,67468.0,62444.0
1489,2512,35.679658,35.886958,63001.0,63327.0
1490,2513,34.766067,36.006294,59492.0,63077.0
1491,2514,31.068759,30.615821,27711.0,29482.0
1492,2515,31.210199,30.972656,27706.0,29204.0
1493,2516,30.532222,30.249519,28189.0,30140.0
1494,2517,30.633553,30.891357,28247.0,28792.0
1495,2518,29.954513,30.069152,27910.0,28151.0
1496,2519,30.065903,30.886658,28018.0,27665.0
1497,252,29.573212,30.538218,29195.0,30497.0
1498,2520,29.197527,28.907609,28261.0,28840.0
1499,2521,29.13081,30.027004,28292.0,27965.0
1500,2522,29.056075,29.16548,27902.0,28594.0
1501,2523,29.000781,29.333796,28033.0,29610.0
1502,2524,29.03883,28.932813,27572.0,28252.0
1503,2525,29.0244,29.299967,27608.0,28651.0
1504,2526,28.751953,28.982899,27431.0,28259.0
1505,2527,28.802918,28.950928,27506.0,28448.0
1506,2528,28.666225,28.348168,27644.0,27389.0
1507,2529,28.659033,28.534778,27585.0,27648.0
1508,253,29.232983,29.457041,30007.0,31387.0
1509,2530,28.658378,28.604387,27498.0,27669.0
1510,2531,28.686139,28.327766,27389.0,27637.0
1511,2532,28.808589,29.309393,27313.0,28380.0
1512,2533,28.736375,28.825759,27319.0,28325.0
1513,2535,31.352264,32.428071,40425.0,40214.0
1514,2536,32.518378,32.036938,32708.0,33316.0
1515,2537,32.618713,31.942455,32305.0,36710.0
1516,2538,33.241645,32.590416,29979.0,30510.0
1517,2539,33.678245,31.712023,29082.0,35051.0
1518,2540,33.276569,33.362958,29200.0,28560.0
1519,2541,33.507709,31.906331,28494.0,32588.0
1520,2542,30.760657,31.872176,43061.0,42419.0
1521,2543,33.467289,32.843093,28165.0,30132.0
1522,2547,33.306279,32.800945,27933.0,29102.0
1523,2548,33.443511,33.015099,28194.0,28716.0
1524,2549,33.325959,32.832444,27989.0,29169.0
1525,255,37.336803,37.131453,56422.0,58786.0
1526,2550,33.323747,32.964207,28007.0,28683.0
1527,2551,33.182423,32.759568,28138.0,29718.0
1528,2552,33.222278,32.956086,28066.0,28782.0
1529,2553,32.908649,32.339801,28757.0,30346.0
1530,2554,32.216812,32.12466,29543.0,31120.0
1531,2555,32.205037,32.340627,29447.0,30007.0
1532,2556,31.744613,31.723306,31575.0,31691.0
1533,2557,31.75209,32.300001,31523.0,31175.0
1534,2558,31.121538,31.363089,33119.0,32083.0
1535,2559,40.664547,40.355123,41634.0,46868.0
1536,256,29.110187,30.208539,33322.0,31765.0
1537,2560,29.904063,30.503434,34165.0,39138.0
1538,2561,32.536814,31.594235,27384.0,29272.0
1539,2562,32.522545,31.682935,27404.0,31663.0
1540,2563,32.689568,32.175143,26819.0,27586.0
1541,2564,32.702562,31.952345,26802.0,30534.0
1542,2565,32.824699,32.342753,26532.0,27401.0
1543,2566,32.735692,32.180999,26570.0,28836.0
1544,2568,32.235357,32.352229,27091.0,27486.0
1545,2569,31.53541,31.290491,27505.0,27613.0
1546,257,29.131927,29.113865,33225.0,32533.0
1547,2570,31.403979,32.101848,27621.0,27802.0
1548,2571,33.756382,31.982288,61099.0,52112.0
1549,2572,31.056986,32.094262,27826.0,28005.0
1550,2573,33.243716,29.565162,60258.0,47952.0
1551,2574,30.609981,31.46314,27950.0,28553.0
1552,2575,30.339619,29.494243,28007.0,28747.0
1553,2576,29.921638,29.668214,28288.0,28392.0
1554,2577,29.386557,29.63849,28829.0,28218.0
1555,2578,29.457622,29.732978,28959.0,28398.0
1556,2579,29.578702,30.554377,28683.0,29782.0
1557,258,29.262912,30.360482,32101.0,32079.0
1558,2580,30.008135,30.383109,28246.0,29207.0
1559,2581,29.616569,29.748938,28902.0,28364.0
1560,2582,29.58489,29.868941,28767.0,29056.0
1561,2583,29.593916,29.923655,28744.0,28706.0
1562,2584,29.38512,29.810638,28316.0,28636.0
1563,2585,29.411378,29.817989,28368.0,28809.0
1564,2586,29.216997,29.877644,27477.0,28146.0
1565,2587,29.207027,29.62968,27591.0,28834.0
1566,2588,36.750677,34.699608,37234.0,39522.0
1567,2589,34.916674,32.949126,38963.0,38385.0
1568,259,29.255541,29.440644,32146.0,31922.0
1569,2590,35.959044,34.890814,38225.0,38856.0
1570,2591,33.35122,33.019608,38347.0,39347.0
1571,2592,33.404969,33.263566,38279.0,39398.0
1572,2593,34.214462,33.087354,28538.0,31587.0
1573,2595,38.754591,38.992318,59517.0,60025.0
1574,2596,33.451764,32.843093,27986.0,30132.0
1575,2597,38.503809,37.989517,58662.0,58465.0
1576,2598,40.495632,39.023006,66524.0,59946.0
1577,2599,40.404376,38.750663,66096.0,59141.0
1578,260,29.574923,30.585151,31473.0,31076.0
1579,2600,41.344221,39.482607,70428.0,61243.0
1580,2601,41.431967,38.725591,70413.0,58856.0
1581,2602,40.987257,38.780443,68215.0,59468.0
1582,2603,31.298429,31.891881,50302.0,45852.0
1583,2604,28.988477,29.22971,29425.0,35301.0
1584,2605,30.449434,29.693438,31111.0,32653.0
1585,2606,29.926989,29.92532,30852.0,34253.0
1586,2607,29.46584,30.015581,30897.0,33959.0
1587,2608,29.5391,30.135983,29435.0,37740.0
1588,261,29.567146,29.748805,31546.0,31336.0
1589,2610,28.774943,28.955281,30180.0,32045.0
1590,2611,29.369922,30.208659,31396.0,37816.0
1591,2612,30.107511,30.524342,40193.0,40461.0
1592,2613,29.943434,30.770895,41375.0,40187.0
1593,2614,28.009696,29.277694,39585.0,40962.0
1594,2615,28.046482,28.894757,39185.0,43138.0
1595,2616,28.184833,28.322225,38052.0,37541.0
1596,2617,28.248461,28.421803,36809.0,37262.0
